ID_CUENTA,TIPO,ESTADO,DETALLE
131,hipoteca,PROCESADO,Saldo actualizado: 8240.0
139,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
109,hipoteca,PROCESADO,Saldo actualizado: 7210.0
134,hipoteca,DESCARTADO,Datos inconsistentes (Edad/Tipo)
150,hipoteca,PROCESADO,Saldo actualizado: 7210.0
124,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
104,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
119,ahorro,PROCESADO,Saldo actualizado: 8080.0
124,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
139,prestamo,PROCESADO,Saldo actualizado: 12360.0
109,prestamo,DESCARTADO,Datos inconsistentes (Edad/Tipo)
135,ahorro,DESCARTADO,Datos inconsistentes (Edad/Tipo)
145,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
121,ahorro,PROCESADO,Saldo actualizado: 7070.0
117,hipoteca,DESCARTADO,Datos inconsistentes (Edad/Tipo)
137,ahorro,PROCESADO,Saldo actualizado: 8080.0
121,prestamo,PROCESADO,Saldo actualizado: 10300.0
132,hipoteca,PROCESADO,Saldo actualizado: 12360.0
148,hipoteca,DESCARTADO,Datos inconsistentes (Edad/Tipo)
147,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
111,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
138,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
129,hipoteca,PROCESADO,Saldo actualizado: 5150.0
113,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
118,ahorro,PROCESADO,Saldo actualizado: 7070.0
123,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
149,prestamo,PROCESADO,Saldo actualizado: 12360.0
117,hipoteca,PROCESADO,Saldo actualizado: 5150.0
110,hipoteca,DESCARTADO,Datos inconsistentes (Edad/Tipo)
137,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
145,prestamo,PROCESADO,Saldo actualizado: 10300.0
112,prestamo,DESCARTADO,Datos inconsistentes (Edad/Tipo)
107,-1,DESCARTADO,Datos inconsistentes (Edad/Tipo)
142,hipoteca,DESCARTADO,Datos inconsistentes (Edad/Tipo)
